CID IDSURVEY zHD zHDERR zCMB zCMBERR zHEL zHELERR m_b_corr m_b_corr_err_DIAG MU_SH0ES MU_SH0ES_ERR_DIAG CEPH_DIST IS_CALIBRATOR USED_IN_SH0ES_HF c cERR x1 x1ERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 RA DEC HOST_RA HOST_DEC HOST_ANGSEP VPEC VPECERR MWEBV HOST_LOGMASS HOST_LOGMASS_ERR PKMJD PKMJDERR NDOF FITCHI2 FITPROB m_b_corr_err_RAW m_b_corr_err_VPEC biasCor_m_b biasCorErr_m_b biasCor_m_b_COVSCALE biasCor_m_b_COVADD
SN2016hhv 150 0.06121 0.0009 0.06067 0.00014 0.06194 0.00014 17.8853 0.196159 37.1383 0.198009 -9 0 0 -0.182466 0.053224 -0.771196 0.38634 17.6183 0.0909773 0.00160949 0.000134864 -0.00911167 3.36473e-05 -7.42839e-06 353.952 20.7088 -999 -999 -9 -151.965 250 0.0510693 10.7875 0.002 57691.9 1.2748 4 7.20033 0.12567 0.1141 0.0329 0.131 0.005 1 0.001
2008go 51 0.06137 0.0009 0.06116 0.00015 0.06227 0.00015 17.7078 0.194277 36.9608 0.196145 -9 0 0 -0.006665 0.035208 -0.812736 0.47805 17.796 0.0419462 0.00136642 5.27902e-05 0.00142536 -9.06123e-06 -1.37496e-06 332.687 -20.7881 -999 -999 -9 -60.2294 250 0.032173 10.7539 -9 54766 0.8675 14 9.19944 0.81807 0.1125 0.0328 -0.0635 0.004 1 0.004
2008go 5 0.06137 0.0009 0.06116 0.00015 0.06227 0.00015 17.7161 0.139395 36.9691 0.141986 -9 0 0 -0.015834 0.023218 -0.766723 0.24562 17.7737 0.0290977 0.00139478 3.73801e-05 0.000240371 -3.8091e-07 -6.33765e-07 332.687 -20.7881 -999 -999 -9 -60.2294 250 0.032173 10.7539 0.16 54766.5 0.1483 20 13.3701 0.86095 0.0644 0.0328 -0.0589 0.004 1 0.003
2006oa 64 0.06153 0.00089 0.06142 1e-05 0.06257 1e-05 17.8217 0.181317 37.0747 0.183316 -9 0 1 -0.016435 0.029345 1.27481 0.23874 17.6386 0.0378925 0.00157968 5.51311e-05 0.00117353 -3.91737e-06 -1.29801e-06 320.929 -0.8435 -999 -999 -9 -33.0806 250 0.0348774 8.11091 0.115 54067.1 0.1507 37 51.7063 0.0548301 0.0716 0.0323 0.0034 0.008 1 0.009
1992bs 50 0.06372 0.0009 0.0637 0.00015 0.06405 0.00015 18.0987 0.204745 37.3517 0.206518 -9 0 1 -0.046839 0.048183 -0.254896 0.12543 18.0085 0.0409461 0.00112357 4.23728e-05 -0.00107221 1.62982e-06 -1.49697e-06 52.3749 -37.2718 -999 -999 -9 -4.4741 250 0.0104577 10.5104 0.28089 48986 0.4364 29 30.918 0.3693 0.1257 0.0316 -0.0354 0.003 1 0.003
SN2016aqb 150 0.06384 0.00089 0.06419 4e-05 0.06289 4e-05 17.7667 0.153498 37.0197 0.155855 -9 0 0 -0.102702 0.034024 0.76814 0.26055 17.4334 0.0419114 0.00190824 7.36617e-05 0.000323877 -2.83919e-06 -2.09659e-06 170.493 -13.9837 -999 -999 -9 100.695 250 0.0323363 9.62423 0.013 57450.5 0.2241 16 15.7711 0.46905 0.0844 0.0312 0.0452 0.002 1 0.003
PS16bnz 150 0.06446 0.00091 0.06398 0.00021 0.0627 0.00021 17.8256 0.15205 37.0786 0.154429 -9 0 0 -0.138069 0.036947 -1.13602 0.22345 17.6896 0.0450032 0.00150712 6.24693e-05 0.000570795 -2.95963e-06 -1.834e-06 155.154 -2.4668 -999 -999 -9 -135.381 250 0.0379388 11.2932 0 57487.5 0.173 11 8.74371 0.64554 0.0901 0.0316 0.071 0.002 1 0.001
2007ae 64 0.06533 0.00096 0.06485 0.00036 0.06499 0.00036 17.8321 0.150634 37.0851 0.153034 -9 0 1 -0.012542 0.031713 1.75915 0.28665 17.5401 0.0444305 0.00172961 7.07789e-05 -0.000475577 4.61133e-06 -1.76582e-06 255.467 79.0318 -999 -999 -9 -135.085 250 0.0385289 10.8837 3.812 54153.2 0.6613 32 24.1847 0.83765 0.0782 0.0329 -0.0461 0.008 1 0.004
PS15cms 150 0.06627 0.00089 0.06603 3e-05 0.06479 3e-05 18.1087 0.201511 37.3617 0.203312 -9 0 1 -0.020643 0.043274 1.37281 0.3396 17.8457 0.0492683 0.00130527 5.92301e-05 -0.00440596 2.16849e-07 -2.02662e-06 149.646 0.743 -999 -999 -9 -69.583 250 0.0224483 10.4286 0.001 57325.9 0.6642 12 7.54254 0.81978 0.1281 0.0301 -0.049 0.002 1 0.002
6057 1 0.06654 0.00089 0.06652 1e-05 0.06707 1e-05 17.9097 0.294956 37.1627 0.296189 -9 0 1 0.11238 0.02879 -0.423267 0.10888 18.4415 0.0662818 0.000754045 4.60327e-05 -6.67907e-05 -1.78373e-07 -9.97409e-07 52.5536 -0.9746 -9 -9 0.514 -6.3317 250 0.10056 9.52798 0.049 53663.6 0.1027 36 49.1711 0.0705395 0.062 0.03 0.0695 0.05 1 0.036
SN2016ixf 150 0.06711 0.0009 0.06723 0.00011 0.06602 0.00011 18.1707 0.192528 37.4237 0.194412 -9 0 1 -0.114194 0.043204 0.79391 0.35403 17.8074 0.0533693 0.00135219 6.64666e-05 -0.00339892 4.68293e-06 -2.29242e-06 159.936 15.0347 -999 -999 -9 32.3162 250 0.0293128 9.99601 0.018 57742.6 0.7832 6 19.916 0.0028663 0.1185 0.0301 0.0545 0.002 1 0.003
AT2016aj 150 0.06725 0.00089 0.06731 5e-05 0.06741 5e-05 17.9814 0.201202 37.2344 0.203006 -9 0 0 0.013964 0.044254 -1.03989 0.35339 18.1501 0.0528724 0.000986181 4.80244e-05 -0.000667131 -1.61916e-06 -1.70297e-06 70.6025 -21.7244 -999 -999 -9 17.2632 250 0.041363 10.7026 0 57442.9 0.4142 8 11.9799 0.1521 0.1174 0.0297 -0.0803 0.002 1 0.004
PS15bjg 150 0.06786 0.00089 0.06758 1e-05 0.06889 1e-05 18.2405 0.188576 37.4935 0.190499 -9 0 0 -0.147356 0.047614 -0.875725 0.25676 18.0541 0.0696089 0.00107734 6.90707e-05 1.62022e-05 -4.00986e-06 -2.44327e-06 343.793 -0.4102 -999 -999 -9 -77.8014 250 0.0792819 11.2378 0.001 57239.2 0.2091 8 20.9004 0.0074168 0.118 0.0294 0.0877 0.003 1 0.001
CSS160129 150 0.06844 0.00134 0.06841 0.001 0.06766 0.001 17.9851 0.189306 37.2381 0.191221 -9 0 0 -0.166092 0.038661 0.68966 0.19472 17.5247 0.0527968 0.00175442 8.53132e-05 -0.00133029 -7.55762e-07 -1.95263e-06 115.123 10.9333 -999 -999 -9 -8.7606 250 0.0324758 8.86459 0.1 57416.2 0.045 12 13.5072 0.40944 0.1086 0.0439 0.1025 0.005 1 0.002
2006al 64 0.06886 0.00089 0.06908 2e-05 0.0678 2e-05 18.1683 0.15702 37.4213 0.159324 -9 0 0 -0.120727 0.035797 -1.43923 0.28126 18.122 0.0560424 0.00101201 5.22368e-05 -0.00177171 3.94466e-06 -1.37787e-06 159.868 5.1834 -999 -999 -9 60.4147 250 0.0220601 10.5011 0.01 53787.2 0.7018 21 16.7827 0.72419 0.0914 0.029 0.0623 0.006 1 0.002
PTSS17-niq 150 0.06897 0.00089 0.0691 1e-05 0.06828 1e-05 18.0287 0.172038 37.2817 0.174144 -9 0 0 -0.041041 0.040784 -0.597985 0.32918 18.0142 0.048576 0.00111772 5.00069e-05 -0.00265013 3.92889e-06 -1.65196e-06 215.069 15.3417 -999 -999 -9 35.4616 250 0.020456 10.6052 0.001 57842.4 0.7292 7 17.1745 0.0163048 0.1096 0.029 -0.0282 0.002 1 0.001
1993B 50 0.07023 0.0009 0.07076 9e-05 0.0696 9e-05 18.0414 0.276366 37.2944 0.277681 -9 0 1 0.034078 0.055036 -0.323197 0.16341 18.2099 0.0664935 0.000933353 5.71612e-05 -0.00100578 6.83385e-07 -1.88585e-06 158.717 -34.4417 -999 -999 -9 146.875 250 0.0701869 9.39781 -9 49005.5 0.5971 18 50.3739 6.62575e-05 0.1452 0.0288 -0.037 0.014 1 0.013
2008Y 51 0.07056 0.00089 0.07028 2e-05 0.06965 2e-05 18.0431 0.225296 37.2961 0.226908 -9 0 1 0.060506 0.042844 -0.281662 0.53662 18.203 0.0892961 0.000939307 7.72531e-05 -0.00203219 9.09747e-06 -2.15815e-06 169.877 54.4628 -999 -999 -9 -79.0466 250 0.0112737 10.544 0.004 54502.9 1.4542 10 6.65038 0.75799 0.123 0.0283 -0.1212 0.008 1 0.008
2008Y 65 0.07056 0.00089 0.07028 2e-05 0.06965 2e-05 18.0245 0.210599 37.2775 0.212322 -9 0 1 0.060985 0.037541 -0.607813 0.25965 18.2412 0.0565672 0.000906796 4.72444e-05 -0.000247528 -1.09395e-06 -9.01268e-07 169.877 54.4628 -999 -999 -9 -79.0466 250 0.0112737 10.544 0.072 54503.7 0.8603 36 36.2899 0.45514 0.11 0.0283 -0.1139 0.009 1 0.008
PS17yt 150 0.07073 0.00089 0.07046 2e-05 0.06976 2e-05 18.2257 0.174101 37.4787 0.176182 -9 0 0 -0.154333 0.037631 0.40963 0.27097 17.8232 0.039969 0.00133269 4.906e-05 -0.000341055 -4.134e-06 -1.47161e-06 150.992 49.0412 -999 -999 -9 -73.4287 250 0.00918051 9.95752 0.1 57786.6 0.2175 8 11.8641 0.15737 0.1032 0.0283 0.0827 0.004 1 0.002
PS16em 150 0.07083 0.00091 0.07113 0.00017 0.06981 0.00017 18.2284 0.446252 37.4814 0.447068 -9 0 0 0.19617 0.095695 -0.938437 0.18326 18.7988 0.15293 0.000542595 7.64256e-05 0.000331296 -5.76501e-07 -3.07303e-06 163.892 -3.3663 -999 -999 -9 84.9082 250 0.0366953 10.0881 0.002 57386.1 1.3277 31 35.7855 0.25373 0.2715 0.0289 -0.227 0.011 1 0.016
2006on 64 0.07089 0.00089 0.07068 1e-05 0.07191 1e-05 18.2013 0.246335 37.4543 0.24781 -9 0 0 0.088566 0.048691 0.95018 0.705 18.2534 0.0900152 0.000896723 7.43447e-05 0.0105852 -1.62015e-05 -2.75736e-06 328.994 -1.0702 -999 -999 -9 -60.9172 250 0.12214 10.2479 0.014 54064.1 0.6701 12 8.74519 0.72453 0.1307 0.0282 -0.134 0.007 1 0.01
470043 15 0.0709 0.01004 0.07061 0.01 0.07 0.01 18.4761 0.5011 37.7291 0.501827 -9 0 0 -9.4e-05 0.03351 0.45622 0.12587 18.4783 0.0401503 0.000728894 2.69543e-05 9.02873e-05 -1.01377e-06 -7.35628e-07 128.994 44.7675 -999 -999 24.2834 -79.7204 250 0.0267871 7 7.899 56313.8 0.0956 14 22.3559 0.0715904 0.0793 0.318 0.0174 0.003 1 0.014
ATLAS16bwu 150 0.07091 0.00089 0.07074 6e-05 0.0718 6e-05 18.1182 0.226654 37.3712 0.228257 -9 0 0 0.042792 0.03957 0.10725 0.29441 18.238 0.0450749 0.000909529 3.77596e-05 -0.000845382 4.66357e-07 -1.27401e-06 18.5927 -13.1531 -999 -999 -9 -47.7797 250 0.0186687 9.63137 0.017 57609.2 0.5125 8 11.9512 0.1534 0.1005 0.0282 -0.0491 0.005 1 0.013
PS15bdr 150 0.07116 0.00089 0.07094 1e-05 0.07096 1e-05 18.1022 0.194143 37.3552 0.196012 -9 0 0 -0.007798 0.044806 -2.30724 0.25964 18.3636 0.0457289 0.000810159 3.41222e-05 -0.00117266 -1.58227e-06 -1.25274e-06 253.706 36.7252 -999 -999 -9 -60.5418 250 0.0137885 10.5352 0.001 57215.8 0.1744 14 9.64479 0.78766 0.1187 0.0281 -0.1073 0.005 1 0.003
PS15bwh 150 0.07158 0.00099 0.07149 0.00043 0.07267 0.00043 17.9964 0.158791 37.2494 0.16107 -9 0 1 -0.081314 0.037564 0.71915 0.21376 17.6874 0.0416184 0.00151018 5.78883e-05 -0.00119804 -2.15612e-06 -1.76962e-06 352.644 -18.8915 -999 -999 -9 -27.116 250 0.0247259 10.6434 0.1 57279 0.1461 12 12.0761 0.43959 0.0996 0.0311 -0.0038 0.002 1 0.001
370566 15 0.07167 0.00134 0.07134 0.001 0.0708 0.001 18.1625 0.207205 37.4155 0.208957 -9 0 0 -0.012934 0.03377 -0.201739 0.10196 18.2153 0.0363325 0.000928749 3.10792e-05 -2.51459e-05 -8.05958e-07 -8.85944e-07 159.985 58.4149 -999 -999 17.5447 -92.1098 250 0.00546541 9.18771 0.192 56024.9 0.1067 14 22.5628 0.0677666 0.0798 0.042 0.0106 0.003 1 0.012
PS15mt 150 0.07193 0.0009 0.07193 9e-05 0.07085 9e-05 18.3088 0.178788 37.5618 0.180815 -9 0 0 -0.075972 0.036821 1.6136 0.30109 17.9245 0.0387218 0.00121393 4.32936e-05 -0.000999856 -2.89275e-06 -1.23526e-06 148.684 23.1981 -999 -999 -9 -2.2308 250 0.0211722 8.92458 0.047 57105.8 0.2918 8 10.9257 0.20595 0.1063 0.0281 0.0363 0.003 1 0.003
2007jd 5 0.07222 0.00089 0.07196 1e-05 0.07268 1e-05 18.3789 0.197861 37.6319 0.199695 -9 0 0 0.041465 0.026092 -0.876053 0.10327 18.615 0.0462907 0.000642679 2.74008e-05 -0.000130836 3.205e-08 -5.17446e-07 44.9724 1.1607 -999 -999 -9 -73.5081 250 0.0663703 9.75914 0.11 54362.2 0.0078 40 180.164 1.07705e-19 0.06 0.0277 -0.0737 0.019 1 0.014
PS15atx 150 0.07252 0.00093 0.07301 0.00027 0.07188 0.00027 18.3695 0.303565 37.6225 0.304764 -9 0 0 -0.180099 0.056028 -1.43738 0.89472 18.1952 0.0833423 0.000946063 7.26208e-05 -0.00481805 -1.64801e-06 -2.9802e-06 195.827 -23.0658 -999 -999 -9 136.355 250 0.10591 10.2531 0.001 57192.9 1.091 7 17.686 0.0237078 0.1955 0.0288 0.1181 0.007 1 0.001
Gaia16aki 150 0.07393 0.0009 0.07398 1e-05 0.07363 1e-05 18.3005 0.174425 37.5535 0.176502 -9 0 1 -0.087634 0.039528 0.59125 0.24591 18.0217 0.0483116 0.00110996 4.93894e-05 -0.00261645 1.8868e-06 -1.55381e-06 239.794 14.6416 -999 -999 -9 15.2964 250 0.03679 9.48062 0.013 57490.7 0.5723 34 61.2757 0.00281181 0.1051 0.0274 0.027 0.002 1 0.003
1992ae 50 0.0744 0.0009 0.07478 9e-05 0.0752 9e-05 18.1816 0.220406 37.4346 0.222054 -9 0 0 -0.036856 0.053708 -0.748829 0.1501 18.1864 0.0477242 0.000953736 4.1922e-05 -0.001163 1.18265e-06 -1.57551e-06 322.075 -61.5504 -999 -999 -9 104.461 250 0.0311105 10.1995 0.3 48804.9 0.5322 25 26.4683 0.38296 0.1412 0.0272 -0.0441 0.007 1 0.002
PS17bii 150 0.07446 0.0009 0.07467 2e-05 0.07339 2e-05 18.1971 0.190211 37.4501 0.192118 -9 0 1 -0.096392 0.046147 -0.890865 0.37518 18.1038 0.0610157 0.00102917 5.78368e-05 -0.000339057 -3.79438e-06 -1.98173e-06 171.409 7.3336 -999 -999 -9 58.3422 250 0.0661965 10.167 0.002 57811.8 0.3857 10 20.1152 0.028182 0.1254 0.0272 0.0209 0.002 1 0.001
7876 1 0.0752 0.0009 0.0749 1e-05 0.07602 1e-05 18.2233 0.177722 37.4763 0.179761 -9 0 0 -0.02499 0.021045 0.46915 0.093387 18.1515 0.030609 0.000984904 2.77663e-05 0.000214653 -5.28068e-07 -4.55889e-07 19.1825 0.7946 -9 -9 3.701 -83.8601 250 0.0262922 9.78646 0.04 53685.5 0.0716 31 54.6332 0.00548727 0.0474 0.0269 0.0223 0.008 1 0.013
2005ir 5 0.0752 0.0009 0.0749 1e-05 0.07602 1e-05 18.3126 0.152624 37.5656 0.154994 -9 0 1 -0.025823 0.023678 0.72205 0.12811 18.1593 0.0263767 0.000977898 2.37569e-05 -7.34961e-05 -1.74379e-07 -4.11164e-07 19.1825 0.7946 -999 -999 -9 -83.8601 250 0.0262922 9.78987 0.09 53685.8 0.1552 40 77.8804 0.000312062 0.0611 0.0269 -0.0194 0.01 1 0.007
2010hs 51 0.0756 0.00508 0.07514 0.005 0.076 0.005 18.5612 0.287885 37.8142 0.289148 -9 0 0 -0.101863 0.047675 1.12001 0.55185 18.1524 0.0763926 0.000984141 6.92443e-05 0.00308311 -5.72566e-06 -2.53013e-06 36.4131 24.7649 -999 -999 -9 -129.296 250 0.0999529 10.4575 0.005 55457.2 0.7243 24 5.2025 0.99998 0.1265 0.1512 0.019 0.005 1 0.002
AT2016gsu 150 0.07575 0.0009 0.07529 6e-05 0.07642 6e-05 18.2931 0.215486 37.5461 0.217171 -9 0 0 -0.113501 0.047352 -1.91024 0.56839 18.3234 0.0527962 0.000840729 4.08822e-05 0.00184845 -4.94726e-06 -1.48992e-06 17.1024 21.1516 -999 -999 -9 -129.563 250 0.0412907 9.75909 0.002 57671.2 0.5204 8 14.8491 0.0621465 0.1399 0.0267 0.047 0.008 1 0.003
370333 15 0.07588 0.00134 0.07557 0.001 0.075 0.001 18.3812 0.196478 37.6342 0.198325 -9 0 1 -0.021726 0.037703 0.91969 0.16381 18.2386 0.044719 0.000909026 3.74407e-05 0.00187538 -3.32388e-06 -1.23623e-06 164.38 57.2977 -999 -999 20.0291 -84.0517 250 0.00660803 7.99137 0.1 56014.8 0.0979 15 26.4124 0.0339046 0.0808 0.0397 0.0078 0.002 1 0.011
PS15bif 150 0.07845 0.00094 0.07855 0.00027 0.07937 0.00027 18.3185 0.147949 37.5715 0.150392 -9 0 0 -0.025674 0.034789 0.31647 0.29993 18.2219 0.0569696 0.00092306 4.84339e-05 0.00420445 -5.17528e-06 -1.40734e-06 305.074 -23.7435 -999 -999 -9 27.7549 250 0.060912 9.58141 0.003 57234.1 0.2451 20 32.6124 0.0371941 0.0672 0.027 -0.0229 0.003 1 0.005
Gaia16acv 150 0.07859 0.0009 0.07833 0.0001 0.07772 0.0001 18.5785 0.143561 37.8315 0.146078 -9 0 0 -0.158189 0.03143 0.56816 0.28287 18.1412 0.039335 0.000994257 3.60208e-05 0.00108081 -2.46654e-06 -9.59259e-07 179.957 54.8022 -999 -999 -9 -72.0818 250 0.0102858 8.87001 0.093 57434.9 0.4251 29 45.7054 0.0250965 0.078 0.0258 0.0833 0.004 1 0.002
17186 1 0.07875 0.0009 0.07849 2e-05 0.07944 2e-05 18.7624 0.237723 38.0154 0.239252 -9 0 0 0.11553 0.024707 0.62903 0.14817 18.9969 0.0381544 0.000452108 1.58878e-05 8.47502e-05 -7.92376e-07 -2.95234e-07 31.6128 -0.8995 -9 -9 13.868 -72.372 250 0.0301623 10.1643 0.057 54353.8 0.1875 36 57.7386 0.0122048 0.0624 0.0258 -0.0824 0.009 1 0.022
2007hx 5 0.07875 0.0009 0.07849 2e-05 0.07944 2e-05 18.8412 0.178084 38.0942 0.180119 -9 0 1 0.090692 0.024597 0.48448 0.14 18.9579 0.0286586 0.000468634 1.23699e-05 -0.000496056 1.88636e-07 -2.23533e-07 31.6128 -0.8995 -999 -999 -9 -72.372 250 0.0301623 10.2646 0.11 54354.9 0.2713 34 68.6457 0.000396141 0.0646 0.0258 -0.1446 0.008 1 0.009
560033 15 0.07895 0.01004 0.07869 0.01 0.08 0.01 18.3458 0.502614 37.5988 0.503338 -9 0 1 0.09678 0.029915 -0.248002 0.14996 18.8016 0.0431323 0.000541182 2.14992e-05 0.000647543 -1.06099e-06 -5.34e-07 353.599 -0.6831 -999 -999 18.2026 -74.4184 250 0.0338446 9.07144 0.368 56578.4 0.1159 13 11.6726 0.55465 0.0659 0.2866 0.0676 0.008 1 0.034
12779 1 0.07906 0.0009 0.07891 3e-05 0.07995 3e-05 18.5313 0.236664 37.7843 0.238199 -9 0 1 0.10798 0.032149 -0.63006 0.2493 18.9489 0.0670245 0.000472527 2.917e-05 -0.00332345 3.02233e-06 -7.86477e-07 309.472 1.2211 -9 -9 6.701 -40.944 250 0.0826316 10.332 0.083 53971.9 0.906 28 21.8388 0.7887 0.0745 0.0257 -0.0616 0.008 1 0.021
PS15bzz 150 0.07931 0.0009 0.07901 1e-05 0.08024 1e-05 18.277 0.14472 37.53 0.147217 -9 0 1 -0.017322 0.032914 -0.914595 0.23732 18.3565 0.0435549 0.000815449 3.27122e-05 -0.000348888 -5.62159e-07 -8.36194e-07 9.4247 1.7628 -999 -999 -9 -83.7337 250 0.0172497 10.4626 0.053 57284.3 0.5886 25 35.929 0.072684 0.0846 0.0256 -0.0543 0.002 1 0.002
350316 15 0.07991 0.00135 0.07966 0.001 0.079 0.001 18.3473 0.155478 37.6003 0.157805 -9 0 1 -0.071956 0.027541 -0.427538 0.086026 18.2603 0.038239 0.000891013 3.1381e-05 0.000264816 -8.75089e-07 -7.27092e-07 131.469 43.8188 -999 -999 19.3109 -69.2072 250 0.0261874 8.61131 0.566 55965.1 0.0743 18 16.913 0.52909 0.0591 0.0381 0.02 0.003 1 0.007
2005ag 5 0.08009 0.0009 0.08024 1e-05 0.07954 1e-05 18.4138 0.116193 37.6668 0.119289 -9 0 1 -0.074453 0.023665 0.28209 0.050407 18.1867 0.0292482 0.000953488 2.56856e-05 -0.000216107 1.57051e-07 -4.22888e-07 224.182 9.3285 -999 -999 -9 42.0914 250 0.0343608 10.69 0.12 53415.4 0.0885 115 128.729 0.18006 0.0587 0.0253 -0.0076 0.005 1 0.002
12950 1 0.08167 0.0009 0.08141 1e-05 0.08273 1e-05 18.4685 0.217982 37.7215 0.219648 -9 0 1 0.027176 0.022079 -0.396496 0.083121 18.6972 0.0352445 0.000595828 1.93414e-05 5.2693e-05 -2.52919e-07 -3.29274e-07 351.667 -0.8403 -9 -9 1.398 -71.2932 250 0.0377921 9.42557 0.04 54000 0.0926 45 65.6353 0.0239368 0.0495 0.0249 0.0338 0.014 1 0.02
130308 15 0.08245 0.0009 0.08221 1e-05 0.08177 1e-05 18.5662 0.215925 37.8192 0.217606 -9 0 0 0.091493 0.03123 -1.01914 0.17563 18.9741 0.0420266 0.000461715 1.7872e-05 -0.000850656 5.70551e-07 -4.74536e-07 213.238 52.7437 -999 -999 16.5903 -67.1114 250 0.00920267 10.1141 0.513 55595.5 0.4584 12 17.6938 0.12531 0.0725 0.0246 -0.0778 0.004 1 0.017
12898 1 0.08282 0.0009 0.08255 1e-05 0.08358 1e-05 18.4244 0.264262 37.6774 0.265638 -9 0 0 0.068219 0.021418 -0.063567 0.08575 18.776 0.0314793 0.000554114 1.60657e-05 2.43772e-06 -2.18506e-07 -2.71886e-07 26.7931 -0.147 -9 -9 0.367 -73.7593 250 0.0281121 9.35181 0.045 54002.5 0.0815 50 72.9829 0.0186438 0.0489 0.0245 0.0789 0.015 1 0.029
12781 1 0.08309 0.00092 0.08282 0.00018 0.08408 0.00018 18.7409 0.193241 37.9939 0.195118 -9 0 0 0.041548 0.026795 -1.83569 0.18894 19.1417 0.0401816 0.00039565 1.46425e-05 0.000781542 -1.4557e-06 -2.84987e-07 5.4066 -1.01 -9 -9 5.254 -73.9179 250 0.0245566 10.4457 0.078 53979.3 0.2303 39 40.9113 0.38658 0.07 0.025 -0.0509 0.006 1 0.013
SN2016glp 150 0.0841 0.00091 0.08366 0.00012 0.08493 0.00012 18.7156 0.219943 37.9686 0.221594 -9 0 1 0.13583 0.043539 0.96912 0.35372 18.8788 0.0668359 0.000504065 3.10293e-05 0.00344815 -4.51383e-06 -1.18957e-06 354.058 23.696 -999 -999 -9 -121.995 250 0.0456357 10.5245 0.014 57658.8 0.2287 30 51.9536 0.00770469 0.096 0.0244 -0.1663 0.009 1 0.011
3592 1 0.08572 0.00091 0.08544 5e-05 0.08658 5e-05 18.5876 0.125696 37.8406 0.128563 -9 0 1 -0.039793 0.02054 -0.153731 0.071465 18.5167 0.0301175 0.000703595 1.95172e-05 6.77686e-05 -2.83837e-07 -3.17226e-07 19.0524 0.7919 -9 -9 5.299 -76.2223 250 0.0255774 10.1853 0.057 53645.1 0.0627 58 51.7626 0.70498 0.046 0.024 -0.0229 0.002 1 0.005
SN2016grz 150 0.08704 0.00103 0.08656 0.0005 0.08748 0.0005 18.5954 0.215122 37.8484 0.21681 -9 0 1 0.0535 0.038526 0.81158 0.42443 18.6515 0.0527016 0.000621466 3.01659e-05 0.00409971 -3.68863e-06 -9.76052e-07 28.8874 33.8229 -999 -999 -9 -133.261 250 0.0425884 8.99392 0.027 57670.6 0.598 11 13.8319 0.24244 0.0923 0.0268 -0.042 0.007 1 0.012
1241 1 0.0887 0.00091 0.08848 1e-05 0.08979 1e-05 18.5242 0.251737 37.7772 0.253181 -9 0 1 0.055246 0.024 -0.551806 0.078987 18.8841 0.0428187 0.000501615 1.97825e-05 4.96971e-05 -2.69078e-07 -3.60084e-07 337.672 -0.7766 -9 -9 3.962 -59.4892 250 0.0527951 9.91509 0.103 53635.4 0.0775 56 51.7126 0.63776 0.053 0.0232 0.0552 0.019 1 0.026
590194 15 0.09039 0.00091 0.09015 2e-05 0.08951 2e-05 18.6672 0.215354 37.9202 0.21704 -9 0 1 0.01867 0.031189 0.27044 0.20513 18.7522 0.0409527 0.00056638 2.13632e-05 0.000968031 -1.04097e-06 -5.26522e-07 130.237 44.5243 -999 -999 17.2771 -65.5475 250 0.0201998 9.75408 0.014 56682.5 0.2293 5 5.64747 0.34205 0.0734 0.0228 0.0148 0.002 1 0.016
370066 15 0.09089 0.00135 0.09066 0.001 0.09 0.001 18.7739 0.165363 38.0269 0.167553 -9 0 1 -0.101902 0.032593 -0.081354 0.46993 18.5599 0.0386281 0.000676172 2.40567e-05 0.00598568 -4.02477e-06 -6.69704e-07 130.349 43.0544 -999 -999 18.3269 -62.1878 250 0.0215796 9.12019 0.034 56001.3 0.3117 3 3.47434 0.32411 0.0792 0.0337 0.0367 0.002 1 0.006
300105 15 0.09205 0.00091 0.09181 1e-05 0.09314 1e-05 18.9072 0.264969 38.1602 0.266341 -9 0 1 0.072885 0.027341 0.32783 0.090019 19.1822 0.0399496 0.000381157 1.40246e-05 8.38124e-05 -2.72605e-07 -3.07893e-07 351.71 -0.7301 -999 -999 17.8554 -65.6529 250 0.0363902 9.04492 0.059 55784.7 0.0769 40 26.7311 0.94654 0.0606 0.0224 0.0456 0.005 1 0.028
iPTF17dz 150 0.09293 0.01004 0.09284 0.01 0.092 0.01 18.9696 0.492553 38.2226 0.493293 -9 0 1 0.11392 0.084127 1.72317 1.05757 19.0785 0.17485 0.000419383 6.75381e-05 0.0426549 -5.4867e-05 -5.13779e-06 126.107 24.9978 -999 -999 -9 -26.3455 250 0.0248646 8.80725 0.138 57767.8 0.9785 20 23.7412 0.30576 0.2082 0.245 -0.0416 0.021 1 0.016
010010 15 0.0995 0.00096 0.09968 0.0003 0.0984 0.0003 19.1847 0.192832 38.4377 0.194713 -9 0 0 0.010397 0.026207 0.9091 0.15659 19.1455 0.033575 0.000394269 1.21923e-05 0.000495672 -3.82944e-07 -2.71717e-07 150.859 1.0294 -999 -999 17.7821 49.113 250 0.020416 9.50285 0.089 55238.9 0.1681 19 12.4905 0.8636 0.0591 0.0219 0.0104 0.002 1 0.014
160099 15 0.10165 0.00092 0.10142 1e-05 0.10102 1e-05 19.0452 0.16334 38.2982 0.165557 -9 0 1 -0.023302 0.028187 0.63877 0.12725 18.9294 0.0415475 0.000481113 1.84106e-05 -0.000207185 9.38673e-09 -4.47446e-07 214.667 54.1831 -999 -999 17.3342 -60.6658 250 0.0106541 9.5937 0.288 55701.1 0.4115 24 22.2237 0.56591 0.0604 0.0206 -0.0019 0.002 1 0.009
